:START_ID(Character-ID),:END_ID(Character-ID),:TYPE
R113,R59,导致
R114,R60,导致
R116,R157,所在城市
R117,R294,相关疾病
R117,R315,爆发地点
R117,R314,爆发地点
R117,R313,爆发地点
R118,R194,相关疾病
R118,R316,爆发地点
R118,R147,爆发地点
R119,R120,顺承
R119,R56,发生地点
R120,R56,发生地点
R122,R58,发生地点
R127,R145,职务
R127,R144,职务
R127,R146,任职机构
R129,character_sR1,奖项名次
R131,character_sR2,奖项名次
R132,character_sR3,奖项名次
R133,character_sR4,奖项名次
R139,R149,第一作者
R139,R21,共同作者
R140,R21,第一作者
R142,R153,第一作者
R142,R21,共同作者
R142,R155,共同作者
R142,R154,共同作者
R143,R21,第一作者
R146,R147,所在城市
R150,R151,第一作者
R150,R21,共同作者
R150,R152,共同作者
R158,character_sR5,籍贯
R158,R212,事迹
R158,R213,职责
R158,R184,死亡原因
R158,R185,履历
R158,character_sR6,性别
R158,character_dR1,死亡时间
R158,character_sR7,民族
R159,character_sR8,籍贯
R159,R234,事迹
R159,R211,职责
R159,R173,死亡原因
R159,R290,履历
R159,character_sR9,性别
R159,character_dR2,死亡时间
R159,character_sR10,民族
R164,R162,职务
R164,R165,任职机构
R166,character_sR11,籍贯
R166,R171,参与事件
R166,R170,参与事件
R166,R192,发表
R166,R188,事迹
R166,R186,事迹
R166,R190,事迹
R166,R191,事迹
R166,R193,出生地
R166,R127,履历
R166,R231,重要成果
R166,R219,重要成果
R166,R225,重要成果
R166,R227,重要成果
R166,R230,重要成果
R166,R229,重要成果
R166,R221,重要成果
R166,R232,重要成果
R166,R226,重要成果
R166,R228,重要成果
R166,character_sR12,性别
R166,R326,获奖事件
R166,R325,获奖事件
R166,R744,同事
R166,R726,同事
R166,R740,同事
R166,R728,同事
R166,R741,同事
R166,R723,同事
R166,R729,同事
R166,R733,同事
R166,R735,同事
R166,R736,同事
R166,R738,同事
R166,R730,同事
R166,R742,同事
R166,R724,同事
R166,R743,同事
R166,R725,同事
R166,R727,同事
R166,R737,同事
R166,R739,同事
R166,R731,同事
R166,R732,同事
R166,R734,同事
R166,R146,现任机构
R166,character_sR13,民族
R166,R23,国籍
R166,R167,研究方向
R166,R168,毕业院校
R166,R169,参与战役
R166,R26,参与战役
R166,R118,参与战役
R166,R27,参与战役
R169,R293,相关疾病
R169,R317,爆发地点
R172,R352,发生地点
R172,R40,相关奖项
R174,R41,相关奖项
R175,R352,发生地点
R175,R43,相关奖项
R176,R42,相关奖项
R177,R44,相关奖项
R178,R45,相关奖项
R179,R46,相关奖项
R180,R131,相关奖项
R181,R129,相关奖项
R182,R131,相关奖项
R183,R131,相关奖项
R185,R162,职务
R185,R160,任职机构
R197,character_sR14,籍贯
R197,R484,事迹
R197,R485,职责
R197,R384,死亡原因
R197,R486,履历
R197,character_sR15,性别
R197,character_dR3,死亡时间
R197,character_sR16,出生日期
R197,character_sR17,民族
R197,R23,国籍
R199,R308,职务
R199,R201,任职机构
R21,character_sR18,籍贯
R21,R119,参与事件
R21,R120,参与事件
R21,R121,发表
R21,R125,事迹
R21,R122,事迹
R21,R126,出生地
R21,R127,履历
R21,R143,重要成果
R21,R139,重要成果
R21,R778,重要成果
R21,R776,重要成果
R21,R136,重要成果
R21,R134,重要成果
R21,R142,重要成果
R21,R777,重要成果
R21,R137,重要成果
R21,R135,重要成果
R21,R140,重要成果
R21,R138,重要成果
R21,character_sR19,性别
R21,R181,获奖事件
R21,R183,获奖事件
R21,R182,获奖事件
R21,R180,获奖事件
R21,character_dR4,出生日期
R21,R715,队友
R21,R716,队友
R21,R714,队友
R21,R717,队友
R21,R718,所属救援队
R21,character_sR20,民族
R21,R23,国籍
R21,R115,研究方向
R21,R116,毕业院校
R21,R26,参与战役
R21,R117,参与战役
R21,R118,参与战役
R21,R27,参与战役
R214,character_sR21,籍贯
R214,R220,参与事件
R214,R223,发表
R214,R222,发表
R214,R224,发表
R214,R215,事迹
R214,R216,事迹
R214,R217,履历
R214,R819,重要成果
R214,R821,重要成果
R214,R812,重要成果
R214,character_sR22,性别
R214,R380,获奖事件
R214,R379,获奖事件
R214,character_dR5,出生日期
R214,R754,同事
R214,R751,同事
R214,R753,同事
R214,R752,同事
R214,R755,现任机构
R214,character_sR23,民族
R214,R23,国籍
R214,R27,参与战役
R217,R68,职务
R217,R218,职务
R217,R239,任职机构
R219,character_dR6,出版日期
R22,character_sR24,籍贯
R22,R28,参与事件
R22,R29,参与事件
R22,R30,发表
R22,R31,发表
R22,R32,事迹
R22,R33,事迹
R22,R34,出生地
R22,R38,履历
R22,R36,履历
R22,R37,履历
R22,R35,履历
R22,R39,履历
R22,R72,重要成果
R22,R388,重要成果
R22,R79,重要成果
R22,R77,重要成果
R22,R49,重要成果
R22,R51,重要成果
R22,R54,重要成果
R22,R78,重要成果
R22,R52,重要成果
R22,R55,重要成果
R22,R47,重要成果
R22,R73,重要成果
R22,R387,重要成果
R22,R76,重要成果
R22,R50,重要成果
R22,R53,重要成果
R22,character_sR25,性别
R22,R172,获奖事件
R22,R179,获奖事件
R22,R175,获奖事件
R22,R177,获奖事件
R22,R174,获奖事件
R22,R176,获奖事件
R22,character_dR7,出生日期
R22,R688,队友
R22,R675,队友
R22,R673,队友
R22,R678,队友
R22,R680,队友
R22,R712,队友
R22,R674,队友
R22,R679,队友
R22,R665,队友
R22,R684,队友
R22,R676,队友
R22,R681,队友
R22,R682,队友
R22,R666,队友
R22,R687,队友
R22,R685,队友
R22,R677,队友
R22,R664,队友
R22,R683,队友
R22,R672,所属救援队
R22,R671,所属救援队
R22,character_sR26,民族
R22,R23,国籍
R22,R24,研究方向
R22,R25,毕业院校
R22,R26,参与战役
R22,R27,参与战役
R221,character_dR8,出版日期
R225,character_dR9,出版日期
R226,character_dR10,出版日期
R227,character_dR11,发表日期
R227,R240,第一作者
R227,R739,共同作者
R227,R247,共同作者
R227,R740,共同作者
R227,R243,共同作者
R227,R245,共同作者
R227,R166,共同作者
R228,character_dR12,发表日期
R228,R278,第一作者
R228,R280,共同作者
R228,R166,共同作者
R228,R281,共同作者
R228,R724,共同作者
R228,R282,共同作者
R228,R278,共同作者
R229,character_dR13,发表日期
R229,R287,第一作者
R229,R289,共同作者
R229,R166,共同作者
R229,R288,共同作者
R230,character_dR14,发表日期
R230,R321,第一作者
R230,R166,共同作者
R231,character_dR15,发表日期
R231,R322,第一作者
R231,R166,共同作者
R232,character_dR16,发表日期
R232,R323,第一作者
R232,R166,共同作者
R232,R324,共同作者
R235,R231,发表
R235,R230,发表
R235,R227,发表
R236,R228,发表
R237,R229,发表
R238,R232,发表
R242,character_sR27,籍贯
R242,R473,事迹
R242,R244,职责
R242,R391,死亡原因
R242,R246,履历
R242,character_sR28,性别
R242,character_dR17,死亡时间
R242,character_sR29,出生日期
R242,character_sR30,民族
R246,R163,职务
R246,R291,任职机构
R25,R81,所在城市
R251,character_sR31,籍贯
R251,R285,职责
R251,R256,死亡原因
R251,R283,履历
R251,character_sR32,性别
R251,character_dR18,死亡时间
R251,character_sR33,民族
R252,character_sR34,籍贯
R252,R474,事迹
R252,R259,职责
R252,R477,死亡原因
R252,R257,履历
R252,character_sR35,性别
R252,character_dR19,死亡时间
R252,character_sR36,民族
R253,character_sR37,籍贯
R253,R260,职责
R253,R261,死亡原因
R253,R262,履历
R253,character_sR38,性别
R253,character_dR20,死亡时间
R253,character_dR21,出生日期
R253,character_sR39,民族
R257,R300,职务
R257,R301,任职机构
R26,R60,相关疾病
R26,R58,爆发地点
R262,R163,职务
R262,R302,任职机构
R264,R303,职务
R264,R305,任职机构
R266,character_sR40,籍贯
R266,R271,职责
R266,R477,死亡原因
R266,R268,履历
R266,character_sR41,性别
R266,character_dR22,死亡时间
R266,character_dR23,出生日期
R266,character_sR42,民族
R268,R306,职务
R268,R307,任职机构
R27,R59,相关疾病
R27,R56,爆发地点
R272,R478,职责
R272,R479,死亡原因
R272,R274,履历
R272,character_sR43,性别
R272,character_dR24,死亡时间
R272,character_sR44,出生日期
R272,character_sR45,民族
R273,character_sR46,籍贯
R273,R277,职责
R273,R279,死亡原因
R273,R276,履历
R273,character_sR47,性别
R273,character_dR25,死亡时间
R273,character_sR48,出生日期
R273,character_sR49,民族
R274,R308,职务
R274,R309,任职机构
R276,R310,职务
R276,R311,任职机构
R28,R29,顺承
R28,R56,发生地点
R283,R297,职务
R283,R298,任职机构
R29,R56,发生地点
R290,R162,职务
R290,R165,任职机构
R318,R226,出版
R318,R221,出版
R318,R219,出版
R319,R225,出版
R327,R331,参与事件
R327,R333,发表
R327,R335,事迹
R327,R334,事迹
R327,R337,出生地
R327,R338,履历
R327,R340,履历
R327,R351,重要成果
R327,R346,重要成果
R327,R390,重要成果
R327,R350,重要成果
R327,R345,重要成果
R327,R389,重要成果
R327,R349,重要成果
R327,R386,重要成果
R327,R347,重要成果
R327,R344,重要成果
R327,R385,重要成果
R327,R348,重要成果
R327,R343,重要成果
R327,R364,获奖事件
R327,R361,获奖事件
R327,R358,获奖事件
R327,R362,获奖事件
R327,R359,获奖事件
R327,R355,获奖事件
R327,R356,获奖事件
R327,R360,获奖事件
R327,R357,获奖事件
R327,R365,获奖事件
R327,R366,获奖事件
R327,R363,获奖事件
R327,R23,国籍
R327,R328,研究方向
R327,R329,毕业院校
R327,R169,参与战役
R327,R330,参与战役
R33,R61,发生地点
R330,R194,相关疾病
R330,R316,爆发地点
R330,R147,爆发地点
R331,R331,顺承
R331,R332,发生地点
R334,R336,发生地点
R338,R71,职务
R338,R339,任职机构
R340,R341,职务
R340,R342,任职机构
R35,R69,职务
R35,R68,职务
R35,R67,任职机构
R355,R378,相关奖项
R356,R368,相关奖项
R357,R374,相关奖项
R358,R376,相关奖项
R359,R371,相关奖项
R36,R71,职务
R36,R70,任职机构
R360,R377,相关奖项
R361,R372,相关奖项
R362,R367,相关奖项
R363,R369,相关奖项
R364,R370,相关奖项
R365,R373,相关奖项
R366,R375,相关奖项
R37,R65,职务
R37,R66,任职机构
R38,R63,职务
R38,R64,任职机构
R39,R62,职务
R392,character_sR50,籍贯
R392,R472,职责
R392,R391,死亡原因
R392,R449,履历
R392,character_sR51,性别
R392,character_dR26,死亡时间
R392,character_dR27,出生日期
R392,character_sR52,民族
R393,character_sR53,籍贯
R393,R453,事迹
R393,R451,职责
R393,R410,死亡原因
R393,R407,履历
R393,character_sR54,性别
R393,character_dR28,死亡时间
R393,character_sR55,出生日期
R393,character_sR56,民族
R394,character_sR57,籍贯
R394,R454,事迹
R394,R452,职责
R394,R414,死亡原因
R394,R411,履历
R394,character_sR58,性别
R394,character_dR29,死亡时间
R394,character_sR59,民族
R395,character_sR60,籍贯
R395,R456,事迹
R395,R455,职责
R395,R410,死亡原因
R395,R415,履历
R395,character_sR61,性别
R395,character_dR30,死亡时间
R395,character_dR31,出生日期
R395,character_sR62,民族
R397,character_sR63,籍贯
R397,R458,事迹
R397,R457,职责
R397,R391,死亡原因
R397,R420,履历
R397,character_sR64,性别
R397,character_dR32,死亡时间
R397,character_sR65,民族
R398,character_sR66,籍贯
R398,R460,事迹
R398,R459,职责
R398,R279,死亡原因
R398,R422,履历
R398,character_sR67,性别
R398,character_dR33,死亡时间
R398,character_dR34,出生日期
R398,character_sR68,民族
R399,character_sR69,籍贯
R399,R462,事迹
R399,R461,职责
R399,R410,死亡原因
R399,R424,履历
R399,character_sR70,性别
R399,character_dR35,死亡时间
R399,character_sR71,民族
R40,character_sR72,奖项名次
R40,R79,获奖原因
R400,character_sR73,籍贯
R400,R465,事迹
R400,R464,事迹
R400,R463,职责
R400,R414,死亡原因
R400,R427,履历
R400,character_sR74,性别
R400,character_dR36,死亡时间
R400,character_dR37,出生日期
R400,character_sR75,民族
R401,character_sR76,籍贯
R401,R432,死亡原因
R401,R430,履历
R401,character_sR77,性别
R401,character_dR38,死亡时间
R401,character_dR39,出生日期
R401,character_sR78,民族
R402,character_sR79,籍贯
R402,R487,职责
R402,R410,死亡原因
R402,R433,履历
R402,character_sR80,性别
R402,character_dR40,死亡时间
R402,character_sR81,民族
R403,character_sR82,籍贯
R403,R467,事迹
R403,R466,职责
R403,R439,死亡原因
R403,R436,履历
R403,character_sR83,性别
R403,character_dR41,死亡时间
R403,character_sR84,民族
R404,character_sR85,籍贯
R404,R488,事迹
R404,R489,事迹
R404,R490,职责
R404,R391,死亡原因
R404,R440,履历
R404,character_sR86,性别
R404,character_dR42,死亡时间
R404,character_dR43,出生日期
R404,character_sR87,民族
R405,character_sR88,籍贯
R405,R469,事迹
R405,R470,事迹
R405,R468,职责
R405,R391,死亡原因
R405,R443,履历
R405,character_sR89,性别
R405,character_dR44,死亡时间
R405,character_dR45,出生日期
R405,character_sR90,民族
R406,character_sR91,籍贯
R406,R471,事迹
R406,R476,职责
R406,R448,死亡原因
R406,R446,履历
R406,character_sR92,性别
R406,character_dR46,死亡时间
R406,character_dR47,出生日期
R406,character_sR93,民族
R407,R408,职务
R407,R409,任职机构
R41,character_sR94,奖项名次
R41,R72,获奖原因
R411,R412,职务
R411,R413,任职机构
R415,R162,职务
R415,R416,任职机构
R417,R144,职务
R417,R418,任职机构
R42,character_sR95,奖项名次
R42,R76,获奖原因
R420,R144,职务
R420,R421,任职机构
R422,R218,职务
R422,R423,任职机构
R424,R425,职务
R424,R426,任职机构
R427,R428,职务
R427,R429,任职机构
R43,character_sR96,奖项名次
R43,R77,获奖原因
R430,R308,职务
R430,R431,任职机构
R433,R434,职务
R433,R435,任职机构
R436,R437,职务
R436,R438,任职机构
R44,character_sR97,奖项名次
R44,R78,获奖原因
R440,R441,职务
R440,R442,任职机构
R443,R444,职务
R443,R69,职务
R443,R445,任职机构
R446,R303,职务
R446,R447,任职机构
R449,R163,职务
R449,R450,任职机构
R45,character_sR98,奖项名次
R45,R75,获奖原因
R46,character_sR99,奖项名次
R46,R73,获奖原因
R480,character_sR100,籍贯
R480,R481,事迹
R480,R482,事迹
R480,R483,职责
R480,R391,死亡原因
R480,R417,履历
R480,character_sR101,性别
R480,character_dR48,死亡时间
R480,character_sR102,民族
R49,character_dR49,发表日期
R49,R84,第一作者
R49,R85,共同作者
R49,R22,共同作者
R49,R111,共同作者
R49,R793,共同作者
R49,R87,共同作者
R49,R86,共同作者
R49,R794,共同作者
R491,character_sR103,籍贯
R491,R498,参与事件
R491,R495,参与事件
R491,R538,发表
R491,R541,发表
R491,R540,发表
R491,R539,发表
R491,R542,发表
R491,R543,事迹
R491,R544,事迹
R491,R547,出生地
R491,R545,履历
R491,R546,履历
R491,R512,重要成果
R491,R511,重要成果
R491,R514,重要成果
R491,R518,重要成果
R491,R513,重要成果
R491,R516,重要成果
R491,R515,重要成果
R491,R509,重要成果
R491,R510,重要成果
R491,R517,重要成果
R491,character_sR104,性别
R491,R765,同事
R491,R767,同事
R491,R762,同事
R491,R764,同事
R491,R769,同事
R491,R763,同事
R491,R761,同事
R491,R766,同事
R491,R768,同事
R491,R760,同事
R491,R758,同事
R491,R771,现任机构
R491,character_sR105,民族
R491,R23,国籍
R491,R494,研究方向
R491,R492,研究方向
R491,R493,研究方向
R491,R198,毕业院校
R491,R27,参与战役
R491,R26,参与战役
R50,R103,第一作者
R50,R106,共同作者
R50,R107,共同作者
R50,R798,共同作者
R50,R104,共同作者
R50,R105,共同作者
R50,R22,共同作者
R50,R797,共同作者
R509,character_dR50,发表日期
R509,R763,第一作者
R509,R491,共同作者
R509,R527,共同作者
R51,R100,第一作者
R51,R796,共同作者
R51,R795,共同作者
R51,R22,共同作者
R51,R102,共同作者
R51,R101,共同作者
R51,R84,共同作者
R510,character_dR51,发表日期
R510,R767,第一作者
R510,R760,共同作者
R510,R529,共同作者
R510,R491,共同作者
R511,character_dR52,发表日期
R511,R767,第一作者
R511,R760,共同作者
R511,R491,共同作者
R512,character_dR53,发表日期
R512,R531,第一作者
R512,R491,共同作者
R512,R532,共同作者
R513,character_dR54,发表日期
R513,R765,第一作者
R513,R491,共同作者
R514,character_dR55,发表日期
R514,R768,第一作者
R514,R535,共同作者
R514,R491,共同作者
R515,character_dR56,发表日期
R515,R768,第一作者
R515,R761,共同作者
R515,R535,共同作者
R515,R491,共同作者
R516,character_dR57,发表日期
R516,R768,第一作者
R516,R537,共同作者
R516,R491,共同作者
R517,character_dR58,发表日期
R517,R768,第一作者
R517,R765,共同作者
R517,R537,共同作者
R517,R491,共同作者
R517,R535,共同作者
R518,character_dR59,发表日期
R518,R761,第一作者
R518,R768,共同作者
R518,R760,共同作者
R518,R491,共同作者
R519,R518,发表
R519,R517,发表
R519,R515,发表
R519,R513,发表
R519,R509,发表
R52,R108,第一作者
R52,R22,共同作者
R52,R107,共同作者
R52,R109,共同作者
R520,R510,发表
R521,R511,发表
R522,R512,发表
R523,R514,发表
R524,R516,发表
R53,R110,第一作者
R53,R84,共同作者
R53,R793,共同作者
R53,R22,共同作者
R53,R112,共同作者
R53,R111,共同作者
R53,R86,共同作者
R54,R22,第一作者
R549,R583,履历
R549,R584,履历
R549,character_sR106,性别
