entity:ID,name,:LABEL
e0,效应T细胞,Concept Entity
e1,未知实体,Concept Entity
e2,2岁以内儿童,Concept Entity
e3,无氧呼吸作用,Concept Entity
e4,异物感，畏光，流泪，黏液或黏液脓性分泌物,Concept Entity
e5,蚌科,Concept Entity
e6,益肝灵,Concept Entity
e7,扁虱,Concept Entity
e8,spore　print,Concept Entity
e9,抗氧化防衰老,Concept Entity
e10,线粒体外膜内侧,Concept Entity
e11,产谷氨酸、赖氨酸、抗噬菌体,Concept Entity
e12,肠球菌属（Enterococcus)）,Concept Entity
e13,Subtilisin,Concept Entity
e14,159.61,Concept Entity
e15,天然提取、化学合成等,Concept Entity
e16,自养菌,Concept Entity
e17,如用于制酱、酿酒、生物抗生素等,Concept Entity
e18,1902年,Concept Entity
e19,初次感染常伴全身症状，皮损需2～3周愈合,Concept Entity
e20,多见于沿海、江河、水网地区,Concept Entity
e21,皮肤、黏膜和指（趾）甲,Concept Entity
e22,Virology,Concept Entity
e23,单股正链小RNA病毒,Concept Entity
e24,甲醇和纳米技术的燃料电池,Concept Entity
e25,革兰氏阳性,Concept Entity
e26,monilial,Concept Entity
e27,无性繁殖,Concept Entity
e28,内共生起源学说,Concept Entity
e29,机体特异性免疫的一部分,Concept Entity
e30,酚类、吲哚类、双苯类等,Concept Entity
e31,主,Concept Entity
e32,750千字,Concept Entity
e33,脸颊或颈淋巴结肿大，或轻微发热、皮疹等,Concept Entity
e34,一般为3-7天,Concept Entity
e35,湖北省人民政府,Concept Entity
e36,高温环境,Concept Entity
e37,DC-CIK细胞靶向治疗法,Concept Entity
e38,疱疹病毒,Concept Entity
e39,梅毒,Concept Entity
e40,多样,Concept Entity
e41,本科,Concept Entity
e42,表飞鸣;表飞明,Concept Entity
e43,大于10000,Concept Entity
e44,盐酸表柔吡星,Concept Entity
e45,50岁以上男性,Concept Entity
e46,Virus_Buster_Serge,Concept Entity
e47,Albumin,Concept Entity
e48,贮存于阴凉干燥处,Concept Entity
e49,麻疹疫苗,Concept Entity
e50,leafhopper,Concept Entity
e51,三氯代乙烯,Concept Entity
e52,无色针状或片状结晶,Concept Entity
e53,主要以无性孢子的方式,Concept Entity
e54,多氯联苯,Concept Entity
e55,cornealtransplantation,Concept Entity
e56,由腮腺炎病毒感染所引起,Concept Entity
e57,1.0～1.5×0.3～0.4um,Concept Entity
e58,流行性感冒病毒(Influenza,Concept Entity
e59,盆腔结缔组织炎,Concept Entity
e60,疱疹病毒科,Concept Entity
e61,扁桃体,Concept Entity
e62,非处方药,Concept Entity
e63,子囊菌亚门真菌,Concept Entity
e64,19世纪60年代,Concept Entity
e65,致腹泻性大肠杆菌,Concept Entity
e66,泌尿生殖系统,Concept Entity
e67,正蚓亚目,Concept Entity
e68,飞沫吸入，直接接触,Concept Entity
e69,曲霉目,Concept Entity
e70,是一些抗生素,Concept Entity
e71,病毒粒子,Concept Entity
e72,尿色,Concept Entity
e73,Cyanobacteria,Concept Entity
e74,肾功能,Concept Entity
e75,由疱疹病毒引起,Concept Entity
e76,口腔科，皮肤科,Concept Entity
e77,pathogenicity,Concept Entity
e78,分泌黏液、参与免疫反应,Concept Entity
e79,生殖器,Concept Entity
e80,高热寒战、乳房疼痛肿胀、化脓破溃，压痛等,Concept Entity
e81,温和噬菌体的核酸,Concept Entity
e82,囊内的原生质体分割而成,Concept Entity
e83,女性生殖感染,Concept Entity
e84,羊支原体性肺炎,Concept Entity
e85,无菌性脑膜炎、红疹、普通感冒等,Concept Entity
e86,芝兰,Concept Entity
e87,水溶,Concept Entity
e88,假白喉杆菌、溃疡棒状杆菌等,Concept Entity
e89,菌种,Concept Entity
e90,细菌（刘惜君的粉丝名称）,Concept Entity
e91,体内有病原体存在并繁殖,Concept Entity
e92,Model,Concept Entity
e93,类杆菌,Concept Entity
e94,精细带宽管理、业务感知等,Concept Entity
e95,巴斯德研究所,Concept Entity
e96,有3200个核苷酸组成,Concept Entity
e97,avian-human,Concept Entity
e98,脊索动物亚门,Concept Entity
e99,非典型肺炎,Concept Entity
e100,甲型H3N2流感病毒,Concept Entity
e101,2/3为RNA病毒,Concept Entity
e102,SARS冠状病毒感染,Concept Entity
e103,1.反应性增多；2.继发性增多；3.克隆性嗜酸性粒细胞增多；4.特发性增多,Concept Entity
e104,活体微生物细胞,Concept Entity
e105,是专性活细胞内寄生物,Concept Entity
e106,担子菌纲、黑粉菌纲、锈菌纲,Concept Entity
e107,Coronavirus,Concept Entity
e108,N-acetyl-D-(+)-glucosamine,Concept Entity
e109,Armillaria,Concept Entity
e110,醋酸杆菌科,Concept Entity
e111,C18H37N5O9,Concept Entity
e112,灰色链霉菌,Concept Entity
e113,饲料,Concept Entity
e114,1949年,Concept Entity
e115,可传染,Concept Entity
e116,xì,Concept Entity
e117,食道炎,Concept Entity
e118,activating,Concept Entity
