:START_ID(Health-ID),:END_ID(Health-ID),:TYPE
R1101,sR1,类别
R1101,sR2,地址
R1101,sR3,地理位置
R262,sR4,类别
R262,sR5,地址
R262,sR6,地理位置
R3275,sR7,类别
R3275,sR8,地址
R3275,sR9,地理位置
R629,sR10,类别
R629,sR11,地址
R629,sR12,地理位置
R5810,sR13,类别
R5810,sR14,地址
R5810,sR15,地理位置
R1851,sR16,类别
R1851,sR17,地址
R1851,sR18,地理位置
R6423,R1984,涉及检查
R1554,sR19,类别
R1554,sR20,地址
R1554,sR21,地理位置
R6942,R273,涉及检查
R6413,R3255,涉及检查
R6467,R3272,涉及检查
R6467,R2301,涉及检查
R5641,sR22,类别
R5641,sR23,地址
R5641,sR24,地理位置
R6487,R430,科室
R6487,R6701,涉及症状
R6487,R6598,涉及症状
R6487,sR25,ICD10编码
R6487,sR26,饮食禁忌
R6487,sR27,并发症
R6487,sR28,发病机制
R6487,sR29,一般治疗
R6487,sR30,发病部位
R6487,sR31,诊断
R6487,sR32,预防
R6487,sR33,预后
R6487,sR34,简介概述
R6487,sR35,药物治疗
R6487,sR36,治疗方法
R6487,sR37,高发人群
R5840,sR38,类别
R5840,sR39,地址
R5840,sR40,地理位置
R6126,sR41,类别
R6126,sR42,地址
R6126,sR43,地理位置
R5768,sR44,类别
R5768,sR45,地址
R5768,sR46,地理位置
R4108,sR47,类别
R4108,sR48,地址
R4108,sR49,地理位置
R3264,sR50,类别
R3264,sR51,地址
R3264,sR52,地理位置
R147,sR53,类别
R147,sR54,地址
R147,sR55,地理位置
R5902,sR56,类别
R5902,sR57,地址
R5902,sR58,地理位置
R3118,sR59,类别
R3118,sR60,地址
R3118,sR61,地理位置
R1418,sR62,类别
R1418,sR63,地址
R1418,sR64,地理位置
R6173,R2803,科室
R6173,R6662,涉及症状
R6173,sR65,ICD10编码
R6173,sR66,饮食禁忌
R6173,sR67,并发症
R6173,sR68,发病机制
R6173,sR69,一般治疗
R6173,sR70,发病部位
R6173,sR71,诊断
R6173,sR72,预防
R6173,sR73,预后
R6173,sR74,简介概述
R6173,sR75,药物治疗
R6173,sR76,治疗方法
R6173,sR77,高发人群
R6544,R1984,涉及检查
R6682,R6013,涉及症状
R6682,R6790,涉及症状
R6682,R7106,涉及症状
R6682,R7033,涉及症状
R6682,R6855,涉及症状
R6682,sR78,起因
R6682,sR79,诊断
R6682,sR80,预防
R6682,sR81,简介概述
R5266,sR82,类别
R5266,sR83,地址
R5266,sR84,地理位置
R6828,sR85,起因
R6828,R273,涉及检查
R6828,sR86,诊断
R6828,sR87,预防
R6828,sR88,简介概述
R5539,sR89,类别
R5539,sR90,地址
R5539,sR91,地理位置
R1599,sR92,类别
