mapID,value,label,graph
R100,马洪明,人物,character
R101,孙宝清,人物,character
R102,欧阳铭,人物,character
R103, 刘升明,人物,character
R104,王大礼,人物,character
R105,周玉民,人物,character
R106,吕嘉春,人物,character
R107,郑劲平,人物,character
R108,莫红缨,人物,character
R109,柯昌文,人物,character
R110, 陈如冲,人物,character
R111,罗炜,人物,character
R112,姚卫民,人物,character
R113,新型冠状病毒 2019-nCoV,病毒,character
R114,SARS冠状病毒,病毒,character
R115,传染病临床,领域,character
R116,浙江医科大学,学校,character
R117,H1N1流感战役,战役,character
R118,H7N9禽流感,战役,character
R119,2020年2月1日，李兰娟院士带队驰援武汉：“四抗二平衡”新方案抢救危重症病人。抵达后在武汉大学人民医院展开工作。,事件,character
R120,2020年2月4日，李兰娟院士团队在武汉发布重大抗病毒研究成果 “阿比朵尔、达芦那韦能有效抑制冠状病毒”,事件,character
R121,2020年2月1日，“我打算比较长期地在那里，与那边的医护人员共同奋斗。我自己希望到金银潭医院，所有危重症集中的那个医院。”,言论,character
R122,2003年，仅用一夜，隔离1000多人。 就是这位73岁的老人，在十七年前创造SARS“零严重后遗症”、无医务人员感染、无二代病人的奇迹。,事迹,character
R123,2014年《首次对甲型H1N1流感大流行有效防控及集成创新性研究》获得国家科技进步奖一等奖（排名第五）,事迹,character
R124,2015年 《人感染 H7N9 禽流感诊治研究的理论创新和技术突破》获得 社会团体 一等奖；,事迹,character
R125,2017年《以防控人感染H7N9禽流感为代表的新发传染病防治体系重大创新和技术突破》获得国家科技进步奖特等奖（排名第一）,事迹,character
R126,绍兴,城市,character
R127,1993年至今 复旦大学附属华山医院 感染病科党支部书记、主任,履历,character
R129,国家科技进步二等奖,奖项,character
character_sR1,二等奖,Character_String,character
R131,省科技进步一等奖,奖项,character
character_sR2,一等奖,Character_String,character
R132,省科技进步二等奖,奖项,character
character_sR3,二等奖,Character_String,character
R133,浙江省科学技术进步一等奖,奖项,character
character_sR4,一等奖,Character_String,character
R134,《本科临床 传染病学 配增值 第9版》,书籍,character
R135,《传染病学 第9版 人卫版》,书籍,character
R136,《传染病学 第3版》,书籍,character
R137,《感染病学学习指导及习题集》,书籍,character
R138,《肝衰竭新进展》,书籍,character
R139,《B3型柯萨奇病毒感染对胰岛细胞糖尿病相关LncRNA表达的影响》,文章,character
R140,《中国近30年微生态学发展现状及未来》,文章,character
R141,《H7N9禽流感病毒裂解佐剂(MF59)疫苗的长期免疫原性研究》,文章,character
R142,《H7N9禽流感病毒分子生物学变异的研究进展》,文章,character
R143,《中国人工肝研究——跟跑者迈向领跑者》,文章,character
R144,党支部书记,职务,character
R145,主任,职务,character
R146,复旦大学附属华山医院,机构,character
R147,上海,城市,character
R148,《H7N9禽流感病毒裂解佐剂(MF59)疫苗的长期免疫原性研究》,成果,character
R149,沈雅婧,人物,character
R150,《H7N9禽流感病毒裂解佐剂(MF59)疫苗的长期免疫原性研究》,文章,character
R151,吴晓鑫,人物,character
R152,沈吉友,人物,character
R153,李艳华,人物,character
R154,高海女,人物,character
R155,杨仕贵,人物,character
R156,高等教育出版社,机构,character
R157,杭州,城市,character
R158,刘大庆,人物,character
character_sR5,吉林省,Character_String,character
character_sR6,男,Character_String,character
character_dR1,2020-01-28,Character_Date,character
character_sR7,汉,Character_String,character
R159,何建华,人物,character
character_sR8,内蒙古自治区,Character_String,character
character_sR9,男,Character_String,character
character_dR2,2020-01-26,Character_Date,character
character_sR10,汉,Character_String,character
R160,吉林铁路公安处吉林北站公安派出所,机构,character
R161,吉林铁路公安处吉林北站公安派出所,机构,character
R162,民警,职务,character
R163,辅警,职务,character
R164,突泉县公安局育文派出所民警,履历,character
R165,突泉县公安局育文派出所,机构,character
R166,张文宏,人物,character
character_sR11,福建厦门,Character_String,character
character_sR12,男,Character_String,character
character_sR13,汉,Character_String,character
R167,各种疑难感染性疾病,领域,character
R168,上海医科大学,学校,character
R169,埃博拉战役,战役,character
R170,2020年1月29日晚上，张文宏在疫情新闻发布会上表示：1自己一定要亲自下病房查房。2科室把所有岗位的医生全部换成党员,事件,character
R171,2020年2月3日，《张文宏教授支招防控新型冠状病毒》（数字版）网络发布。,事件,character
R172,1980年广东省科技进步三等奖,事件,character
R173,脑出血,事件,character
R174,1982年广州市科技成果一等奖,事件,character
R175,2008年广东省科学技术二等奖,事件,character
R176,1994年中国卫生部重大科技成果三等奖,事件,character
R177,2008年广州市科学技术进步一等奖,事件,character
R178,2008年广州市科学技术进步二等奖,事件,character
R179,2009年中国国家级教学成果二等奖,事件,character
R180,1997年省科技进步一等奖,事件,character
R181,1998年国家科技进步二等奖,事件,character
R182,2001年省科技进步一等奖,事件,character
R183,2003年省科技进步一等奖,事件,character
R184,突发脑溢血,事件,character
R185,吉林铁路公安处吉林北站公安派出所 民警,履历,character
R186,2003年，张文宏随老师参与非典的救治和防疫工作，他的老师华山医院感染科终身教授翁心华时任上海市“非典”专家咨询组组长。非典结束后，张文宏协助翁心华一起主编了国内首部介绍SARS的专业书籍。,事迹,character
R187,吉林铁路公安处吉林北站公安派出所,职务,character
R188,2013年，H7N9，第一时间在国际上客观报道了中国案例；,事迹,character
R189,民警,机构,character
R190,2014年，埃博拉，参加了援助西非的紧急救援队。,事迹,character
R191,2020年初，新冠肺炎，成为上海医疗救治专家组组长。,事迹,character
R192,2020年1月29日，疫情新闻发布会。“党员冲在最前线，什么是前线？现在就是！”,言论,character
R193,温州瑞安,城市,character
R194,H7N9型禽流感,疾病,character
R195,上海和安徽,城市,character
R196,新亚型流感病毒,病毒,character
R197,李文亮,人物,character
character_sR14,辽宁锦州,Character_String,character
character_sR15,男,Character_String,character
character_dR3,2020-02-07,Character_Date,character
character_sR16,unknown,Character_String,character
character_sR17,汉,Character_String,character
R198,武汉大学,学校,character
R199,2014年-2020年2月武汉市中心医院医生,履历,character
R200,眼科医生,职务,character
R201,武汉市中心医院,机构,character
R202,2019年12月30日，李文亮发出了一份写有“检出高置信度阳性指标 SARS冠状病毒阳性”的临床病原体筛查结果和患者胸部CT，并称“最新消息是冠状病毒感染确定了，正在进行病毒分型。”,事迹,character
R203,辽宁锦州,城市,character
R204,2019年12月30日，在微信群发出预警信息,事件,character
R205,2020年1月3日，警方对他进行训诫,事件,character
R206,2020年1月8日，接诊时不幸被患者感染,事件,character
R207,2020年1月12日，因发烧、肺部感染住院,事件,character
R208,2020年2月1日，被确诊感染新型冠状病毒,事件,character
R21,李兰娟,人物,character
character_sR18,浙江绍兴,Character_String,character
character_sR19,女,Character_String,character
character_dR4,1947-09-13,Character_Date,character
character_sR20,汉,Character_String,character
R210,如果我们不说实话，谁还会说实话？,言论,character
R211,疫情爆发期间，在人流量较大的突泉县汽车客运站开展工作,事件,character
R212,面对疫情，刘大庆放弃春节休息，让妻子儿女咱家照顾九旬母亲，大年初一戴口罩执勤。工作之余，主动在所里清扫卫生、买菜做饭。,事迹,character
R213,驻守新型冠状病毒疫情第一线,事件,character
R214,张定宇,人物,character
character_sR21,湖北武汉,Character_String,character
character_sR22,男,Character_String,character
character_dR5,1963-12-01,Character_Date,character
character_sR23,汉,Character_String,character
R215,赴阿尔及利亚、巴基斯坦等国开展国际医疗援助，带领湖北省第三医疗队赴汶川抗震救灾,事迹,character
R216,武汉金银潭医院院长：身患绝症、妻子被感染，抗击疫情最前线奋战30余天,事迹,character
R217,2013年12月至今 湖北省武汉市金银潭医院（武汉市传染病医院） 党委副书记、院长,履历,character
R218,党委副书记,职务,character
R219,《认识肝炎·知行合一 （病毒性肝炎宜指导和释疑）》,书籍,character
character_dR6,2017-08-01,Character_Date,character
R22,钟南山,人物,character
character_sR24,福建厦门,Character_String,character
character_sR25,男,Character_String,character
character_dR7,1936-10-01,Character_Date,character
character_sR26,汉,Character_String,character
R220,2020年1月23日，湖北省新型肺炎应急科研攻关研究专家组召开第一次工作会议正式宣布成立由中科院武汉病毒所牵头，张定宇等13位相关学科专家组成的新型肺炎应急科研攻关研究专家组攻关新型肺炎研究。,事件,character
R221,《翁心华疑难感染病和发热病例精选与临床思维》,书籍,character
character_dR8,2016-09-01,Character_Date,character
R222,很感激解放军医疗队的分担，让我这两天凌晨1点就能躺下了，之前有时候得扛到三、四点才能睡。,言论,character
R223,我爱人虽然感染了病毒，但是很幸运，给她用了抗毒药之后，有效果，我很感恩。,言论,character
R224,这样的疫情和灾难，无论发生在其他任何一个国家，后果都不可想像。我很感恩，当我们为了抢救病人不顾一切，背后支撑我们的，是整个中国。,言论,character
R225,《重点感染性疾病的防治（第2版）》,书籍,character
character_dR9,2018-04-01,Character_Date,character
R226,《张文宏教授支招防控新型冠状病毒》,书籍,character
character_dR10,2020-02-01,Character_Date,character
R227,《高毒力肺炎克雷伯菌血清型、毒力基因分布及分子标志物探索》,文章,character
character_dR11,2019-12-25,Character_Date,character
R228,《肺炎克雷伯菌肝脓肿70例临床分析》,文章,character
character_dR12,2018-01-20,Character_Date,character
R229,《细菌持留与抗生素表型耐药机制》,文章,character
character_dR13,2016-08-16,Character_Date,character
R23,中国,国家,character
R230,《结核病诊断技术新进展》,文章,character
character_dR14,2016-06-25,Character_Date,character
R231,《 成人急性感染性腹泻治疗新进展》,文章,character
character_dR15,2013-12-25,Character_Date,character
R232,《抗结核药物所致肝损伤相关危险因素及临床处置对策》,文章,character
character_dR16,2013-11-10,Character_Date,character
R233,曾在太和派出所、指挥中心、育文派出所等工作。组建民事纠纷调解小组，创造了辖区连续十年都无重大刑事案件的业绩；曾荣记个人三等功1次、嘉奖6次，荣获先进个人和全盟十佳社区民警等荣誉称号。,事迹,character
R234,曾在太和派出所、指挥中心、育文派出所等地工作。组建民事纠纷调解小组，创造了辖区连续十年都无重大刑事案件的业绩；曾荣记个人三等功1次、嘉奖6次，荣获先进个人和全盟十佳社区民警等荣誉称号。,事迹,character
R235,《微生物与感染》,期刊,character
R236,《中国感染与化疗杂志 》,期刊,character
R237,《遗传》,期刊,character
R238,《中国防痨杂志 》,期刊,character
R239,武汉市金银潭医院,机构,character
R24,呼吸病学,领域,character
R240,徐水宝,人物,character
R242,曾文聪,人物,character
character_sR27,广东省清远市英德市,Character_String,character
character_sR28,男,Character_String,character
character_dR17,2020-01-26,Character_Date,character
character_sR29,unknown,Character_String,character
character_sR30,汉,Character_String,character
R243,杨思宇,人物,character
R244,打击犯罪、巡逻防控、排查隐患、入户宣传调查等,事件,character
R245,翁珊珊,人物,character
R246,广东桥头派出所 辅警,履历,character
R247,陈晨,人物,character
R25,北京医学院,学校,character
R251,苏莱曼·巴马丁,人物,character
character_sR31,新疆维吾尔自治区乌恰县,Character_String,character
character_sR32,男,Character_String,character
character_dR18,2020-01-25,Character_Date,character
character_sR33,维吾尔,Character_String,character
R252,宋英杰,人物,character
character_sR34,湖北省衡山县,Character_String,character
character_sR35,男,Character_String,character
character_dR19,2020-02-03,Character_Date,character
character_sR36,汉,Character_String,character
R253,胡锋,人物,character
character_sR37,安徽省枞阳县,Character_String,character
character_sR38,男,Character_String,character
character_dR20,2020-01-26,Character_Date,character
character_dR21,1990-04-01,Character_Date,character
