mapID,value,label,graph
e0,效应T细胞,Concept Entity,character
e1,未知实体,Concept Entity,character
e2,2岁以内儿童,Concept Entity,character
e3,无氧呼吸作用,Concept Entity,character
e4,异物感，畏光，流泪，黏液或黏液脓性分泌物,Concept Entity,character
e5,蚌科,Concept Entity,character
e6,益肝灵,Concept Entity,character
e7,扁虱,Concept Entity,character
e8,spore　print,Concept Entity,character
e9,抗氧化防衰老,Concept Entity,character
e10,线粒体外膜内侧,Concept Entity,character
e11,产谷氨酸、赖氨酸、抗噬菌体,Concept Entity,character
e12,肠球菌属（Enterococcus)）,Concept Entity,character
e13,Subtilisin,Concept Entity,character
e14,159.61,Concept Entity,character
e15,天然提取、化学合成等,Concept Entity,character
e16,自养菌,Concept Entity,character
e17,如用于制酱、酿酒、生物抗生素等,Concept Entity,character
e18,1902年,Concept Entity,character
e19,初次感染常伴全身症状，皮损需2～3周愈合,Concept Entity,character
e20,多见于沿海、江河、水网地区,Concept Entity,character
e21,皮肤、黏膜和指（趾）甲,Concept Entity,character
e22,Virology,Concept Entity,character
e23,单股正链小RNA病毒,Concept Entity,character
e24,甲醇和纳米技术的燃料电池,Concept Entity,character
e25,革兰氏阳性,Concept Entity,character
e26,monilial,Concept Entity,character
e27,无性繁殖,Concept Entity,character
e28,内共生起源学说,Concept Entity,character
e29,机体特异性免疫的一部分,Concept Entity,character
e30,酚类、吲哚类、双苯类等,Concept Entity,character
e31,主,Concept Entity,character
e32,750千字,Concept Entity,character
e33,脸颊或颈淋巴结肿大，或轻微发热、皮疹等,Concept Entity,character
e34,一般为3-7天,Concept Entity,character
e35,湖北省人民政府,Concept Entity,character
e36,高温环境,Concept Entity,character
e37,DC-CIK细胞靶向治疗法,Concept Entity,character
e38,疱疹病毒,Concept Entity,character
e39,梅毒,Concept Entity,character
e40,多样,Concept Entity,character
e41,本科,Concept Entity,character
e42,表飞鸣;表飞明,Concept Entity,character
e43,大于10000,Concept Entity,character
e44,盐酸表柔吡星,Concept Entity,character
e45,50岁以上男性,Concept Entity,character
e46,Virus_Buster_Serge,Concept Entity,character
e47,Albumin,Concept Entity,character
e48,贮存于阴凉干燥处,Concept Entity,character
e49,麻疹疫苗,Concept Entity,character
e50,leafhopper,Concept Entity,character
e51,三氯代乙烯,Concept Entity,character
e52,无色针状或片状结晶,Concept Entity,character
e53,主要以无性孢子的方式,Concept Entity,character
e54,多氯联苯,Concept Entity,character
e55,cornealtransplantation,Concept Entity,character
e56,由腮腺炎病毒感染所引起,Concept Entity,character
e57,1.0～1.5×0.3～0.4um,Concept Entity,character
e58,流行性感冒病毒(Influenza,Concept Entity,character
e59,盆腔结缔组织炎,Concept Entity,character
e60,疱疹病毒科,Concept Entity,character
e61,扁桃体,Concept Entity,character
e62,非处方药,Concept Entity,character
e63,子囊菌亚门真菌,Concept Entity,character
e64,19世纪60年代,Concept Entity,character
e65,致腹泻性大肠杆菌,Concept Entity,character
e66,泌尿生殖系统,Concept Entity,character
e67,正蚓亚目,Concept Entity,character
e68,飞沫吸入，直接接触,Concept Entity,character
e69,曲霉目,Concept Entity,character
e70,是一些抗生素,Concept Entity,character
e71,病毒粒子,Concept Entity,character
e72,尿色,Concept Entity,character
e73,Cyanobacteria,Concept Entity,character
e74,肾功能,Concept Entity,character
e75,由疱疹病毒引起,Concept Entity,character
e76,口腔科，皮肤科,Concept Entity,character
e77,pathogenicity,Concept Entity,character
e78,分泌黏液、参与免疫反应,Concept Entity,character
e79,生殖器,Concept Entity,character
e80,高热寒战、乳房疼痛肿胀、化脓破溃，压痛等,Concept Entity,character
e81,温和噬菌体的核酸,Concept Entity,character
e82,囊内的原生质体分割而成,Concept Entity,character
e83,女性生殖感染,Concept Entity,character
e84,羊支原体性肺炎,Concept Entity,character
e85,无菌性脑膜炎、红疹、普通感冒等,Concept Entity,character
e86,芝兰,Concept Entity,character
e87,水溶,Concept Entity,character
e88,假白喉杆菌、溃疡棒状杆菌等,Concept Entity,character
e89,菌种,Concept Entity,character
e90,细菌（刘惜君的粉丝名称）,Concept Entity,character
e91,体内有病原体存在并繁殖,Concept Entity,character
e92,Model,Concept Entity,character
e93,类杆菌,Concept Entity,character
e94,精细带宽管理、业务感知等,Concept Entity,character
e95,巴斯德研究所,Concept Entity,character
e96,有3200个核苷酸组成,Concept Entity,character
e97,avian-human,Concept Entity,character
e98,脊索动物亚门,Concept Entity,character
e99,非典型肺炎,Concept Entity,character
e100,甲型H3N2流感病毒,Concept Entity,character
e101,2/3为RNA病毒,Concept Entity,character
e102,SARS冠状病毒感染,Concept Entity,character
e103,1.反应性增多；2.继发性增多；3.克隆性嗜酸性粒细胞增多；4.特发性增多,Concept Entity,character
e104,活体微生物细胞,Concept Entity,character
e105,是专性活细胞内寄生物,Concept Entity,character
e106,担子菌纲、黑粉菌纲、锈菌纲,Concept Entity,character
e107,Coronavirus,Concept Entity,character
e108,N-acetyl-D-(+)-glucosamine,Concept Entity,character
e109,Armillaria,Concept Entity,character
e110,醋酸杆菌科,Concept Entity,character
e111,C18H37N5O9,Concept Entity,character
e112,灰色链霉菌,Concept Entity,character
e113,饲料,Concept Entity,character
e114,1949年,Concept Entity,character
e115,可传染,Concept Entity,character
e116,xì,Concept Entity,character
e117,食道炎,Concept Entity,character
e118,activating,Concept Entity,character
e119,飘尘,Concept Entity,character
e120,口角潮红、起疱、皲裂、糜烂、结痂、脱屑等,Concept Entity,character
e121,苏冰；周光炎,Concept Entity,character
e122,再障,Concept Entity,character
e123,Actinomyces,Concept Entity,character
e124,节肢动物,Concept Entity,character
e125,Tulipa,Concept Entity,character
e126,葡萄球菌，链球菌及大肠杆菌等，滴虫或念珠菌,Concept Entity,character
e127,用自发突变方法来选育菌种等,Concept Entity,character
e128,伯克霍尔德菌,Concept Entity,character
e129,medicalmicrobiology,Concept Entity,character
e130,原发性：婴幼儿,Concept Entity,character
e131,Macrophage,Concept Entity,character
e132,组织细胞,Concept Entity,character
e133,野兔热杆菌,Concept Entity,character
e134,Gill;Lamellae,Concept Entity,character
e135,6属,Concept Entity,character
e136,转基因小鼠,Concept Entity,character
e137,细菌毒素,Concept Entity,character
e138,非洲，中东，西亚，北美,Concept Entity,character
e139,255-257°C,Concept Entity,character
e140,水不溶性的结构称为包涵体,Concept Entity,character
e141,370.38,Concept Entity,character
e142,阵发性痉挛,Concept Entity,character
e143,卫生,Concept Entity,character
e144,1种独特的传染因子,Concept Entity,character
e145,婴幼儿不能肌内注射,Concept Entity,character
e146,紫外线（物理学中光学定义）,Concept Entity,character
e147,母婴传播,Concept Entity,character
e148,医科,Concept Entity,character
e149,子宫内膜,Concept Entity,character
e150,生物技术,Concept Entity,character
e151,动物和真菌,Concept Entity,character
e152,自然免疫,Concept Entity,character
e153,胃癌,Concept Entity,character
e154,与直肠炎并发,Concept Entity,character
e155,蚜虫、叶蝉、飞虱、蓟马，白粉虱,Concept Entity,character
e156,hypha,Concept Entity,character
e157,滴虫性阴道炎和尿道炎,Concept Entity,character
e158,免疫活性细胞,Concept Entity,character
e159,嵌合抗体、改型抗体等几类,Concept Entity,character
e160,博士研究生,Concept Entity,character
e161,肛管炎症,Concept Entity,character
e162,杂交瘤技术来制备,Concept Entity,character
e163,芽生生殖,Concept Entity,character
e164,口服，成人每日15～40mg，需要时增加到60mg,Concept Entity,character
e165,gastric,Concept Entity,character
e166,发热、阴囊胀痛肿大、隐痛、沉坠感、压痛等,Concept Entity,character
e167,山东济南,Concept Entity,character
e168,pus,Concept Entity,character
e169,朊病毒病,Concept Entity,character
e170,霉菌毒素,Concept Entity,character
e171,《微生物学》,Concept Entity,character
e172,2市辖区、5市辖开发区、1县级市、8县,Concept Entity,character
e173,由聚积在口腔内的细菌引起,Concept Entity,character
e174,19世纪后半叶,Concept Entity,character
e175,腹痛、水泻、呕吐及发热,Concept Entity,character
e176,原发性肺结核或组织胞浆菌病感染所致,Concept Entity,character
e177,trachoma,Concept Entity,character
e178,免疫屏障,Concept Entity,character
e179,抗原特异性,Concept Entity,character
e180,中风、心肌梗塞、低血容量休克等,Concept Entity,character
e181,ascospore,Concept Entity,character
e182,207-175-4,Concept Entity,character
e183,糖酵解,Concept Entity,character
e184,极端环境微生物的研究有二十余年,Concept Entity,character
e185,立克次体目,Concept Entity,character
e186,含13%DNA和87%的蛋白质,Concept Entity,character
e187,CN：,Concept Entity,character
e188,镰刀菌属,Concept Entity,character
e189,头孢噻甲羧肟,Concept Entity,character
e190,散囊菌纲,Concept Entity,character
e191,泰妙菌素,Concept Entity,character
e192,肠道指大小肠,Concept Entity,character
e193,adjuvant,Concept Entity,character
e194,lysogenic,Concept Entity,character
e195,L-Asparagine,Concept Entity,character
e196,DNA病毒 RNA病毒,Concept Entity,character
e197,土壤生态系统,Concept Entity,character
e198,发热，咳嗽，咽部充血，呼吸困难及发绀，嗜睡，萎靡，面色苍白等,Concept Entity,character
e199,无菌的条件,Concept Entity,character
e200,间接和直接传播,Concept Entity,character
e201,菌（微生物）,Concept Entity,character
e202,慎用,Concept Entity,character
e203,与RNA序列相同的那一个DNA单链,Concept Entity,character
e204,C/Xi,Concept Entity,character
e205,专性厌氧性细菌,Concept Entity,character
e206,germs,Concept Entity,character
e207,19031,Concept Entity,character
e208,破伤风抗毒素,Concept Entity,character
e209,上班一族,Concept Entity,character
e210,Aedes（Stegomyia）albopictus,Concept Entity,character
e211,军事科学院系统工程研究院研究员、信息系统安全重点实验室主任,Concept Entity,character
e212,鸽痘,Concept Entity,character
e213,孢囊梗,Concept Entity,character
e214,眼科学（科学种类）,Concept Entity,character
e215,生物活体或其代谢产物作为农药,Concept Entity,character
e216,45种细菌,Concept Entity,character
e217,MK-8(H4),Concept Entity,character
e218,疫苗,Concept Entity,character
e219,腥,Concept Entity,character
e220,儿科，小儿传染病科,Concept Entity,character
e221,α-变形杆菌纲,Concept Entity,character
e222,2012年3月11日,Concept Entity,character
e223,菌种分离,Concept Entity,character
e224,固体培养基的一种形式,Concept Entity,character
e225,麻风病,Concept Entity,character
e226,呼吸短促,Concept Entity,character
e227,先天性,Concept Entity,character
e228,西尼罗病毒经蚊子传播,Concept Entity,character
e229,能分解有机污染物,Concept Entity,character
e230,担子菌门纲 Basidiomycetes,Concept Entity,character
e231,结缔组织病,Concept Entity,character
e232,phimosis,Concept Entity,character
e233,drymouth,Concept Entity,character
e234,spirillar,Concept Entity,character
e235,铁荚菌科,Concept Entity,character
e236,细菌菌落,Concept Entity,character
e237,3－O－α-羧乙基-D-葡萄糖胺。,Concept Entity,character
e238,棉籽经过剥壳机分离后剩下的外壳,Concept Entity,character
e239,常因β-溶血性链球菌“致肾炎菌株”感染所致,Concept Entity,character
e240,河南、四川、云南,Concept Entity,character
e241,2-3月龄的仔猪,Concept Entity,character
e242,详细如下,Concept Entity,character
e243,伞菌目,Concept Entity,character
e244,C40H56,Concept Entity,character
e245,肠、胃,Concept Entity,character
e246,子宫,Concept Entity,character
e247,节肢动物门,Concept Entity,character
e248,约为4.5,Concept Entity,character
e249,Loculoascomycetes,Concept Entity,character
e250,阻遏蛋白、反义RNA...,Concept Entity,character
e251,白色念珠菌,Concept Entity,character
e252,无菌培养基,Concept Entity,character
e253,产气荚膜杆菌,Concept Entity,character
e254,传染性软疣,Concept Entity,character
e255,间接接触、性交等方式传播,Concept Entity,character
e256,抗感染药,Concept Entity,character
e257,十二指肠溃疡,Concept Entity,character
e258,李兴杰,Concept Entity,character
e259,曲线表示出来,Concept Entity,character
e260,细菌武器,Concept Entity,character
e261,嗜极菌,Concept Entity,character
e262,鞭毛藻,Concept Entity,character
e263,紧密附着于根际土壤中的微生物,Concept Entity,character
e264,法国里摩日大学,Concept Entity,character
e265,需氧或兼性厌氧,Concept Entity,character
e266,isolation,Concept Entity,character
e267,隔離,Concept Entity,character
e268,240.3,Concept Entity,character
e269,γ－Globulin,Concept Entity,character
e270,低聚果糖,Concept Entity,character
e271,天然色素,Concept Entity,character
e272,直接居住生活在一起,Concept Entity,character
e273,侧孢短芽孢杆菌,Concept Entity,character
e274,8%,Concept Entity,character
e275,O’Meara氏法、Barritt氏法、快速法,Concept Entity,character
e276,208-590-3,Concept Entity,character
e277,cold,Concept Entity,character
e278,红、肿、热、痛,Concept Entity,character
e279,胃底腺、贲门腺和幽门腺,Concept Entity,character
e280,449.9°C,Concept Entity,character
e281,Pseudomonas,Concept Entity,character
e282,附睾炎,Concept Entity,character
e283,膈肌麻痹,Concept Entity,character
e284,微生态学、仿生学,Concept Entity,character
e285,是鲜奶处理的一种灭菌工艺,Concept Entity,character
e286,活菌制剂,Concept Entity,character
