mapID,value,label,graph
R0001,3M-8200,N95口罩,character
sR1,对0.3 微米的非油性颗粒的过滤效果(PFE) >95%以上,Goods_String,character
sR2,3M,Goods_String,character
sR3,长期佩戴口罩会鼻粘膜变得脆弱，降低抵抗力,Goods_String,character
sR4,标识口罩使用人员,Goods_String,character
sR5,昂贵,Goods_String,character
sR6,是,Goods_String,character
sR7,NIOSH 42CFR84,Goods_String,character
sR8,防飞沫,Goods_String,character
sR9,5年,Goods_String,character
sR10,被污染,Goods_String,character
R0002,3M-8210,N95口罩,character
sR11,对0.3 微米的非油性颗粒的过滤效果(PFE) >95%以上,Goods_String,character
sR12,3M,Goods_String,character
sR13,长期佩戴口罩会鼻粘膜变得脆弱，降低抵抗力,Goods_String,character
sR14,标识口罩使用人员,Goods_String,character
sR15,昂贵,Goods_String,character
sR16,是,Goods_String,character
sR17,NIOSH 42CFR84,Goods_String,character
sR18,防飞沫,Goods_String,character
sR19,5年,Goods_String,character
sR20,被污染,Goods_String,character
sR21,罩杯式,Goods_String,character
R0003,3M-8233,N100口罩,character
sR22,对0.3 微米的非油性颗粒的过滤效果(PFE) >99.7%以上,Goods_String,character
sR23,3M,Goods_String,character
sR24,长期佩戴口罩会鼻粘膜变得脆弱，降低抵抗力,Goods_String,character
sR25,标识口罩使用人员,Goods_String,character
sR26,昂贵,Goods_String,character
sR27,是,Goods_String,character
sR28,NIOSH 42CFR84,Goods_String,character
sR29,防飞沫,Goods_String,character
sR30,5年,Goods_String,character
sR31,被污染,Goods_String,character
R0004,3M-8511,N95口罩,character
sR32,对0.3 微米的非油性颗粒的过滤效果(PFE) >95%以上,Goods_String,character
sR33,3M,Goods_String,character
sR34,长期佩戴口罩会鼻粘膜变得脆弱，降低抵抗力,Goods_String,character
sR35,标识口罩使用人员,Goods_String,character
sR36,昂贵,Goods_String,character
sR37,是,Goods_String,character
sR38,NIOSH 42CFR84,Goods_String,character
sR39,防飞沫,Goods_String,character
sR40,5年,Goods_String,character
sR41,被污染,Goods_String,character
R0005,3M-8577,P95口罩,character
sR42,对0.3 微米的油性或非油性颗粒的过滤效果(PFE) >95%以上,Goods_String,character
sR43,3M,Goods_String,character
sR44,长期佩戴口罩会鼻粘膜变得脆弱，降低抵抗力,Goods_String,character
sR45,标识口罩使用人员,Goods_String,character
sR46,昂贵,Goods_String,character
sR47,是,Goods_String,character
sR48,NIOSH 42CFR84,Goods_String,character
