mapID,value,label,graph
R1,通用预防措施1,通用预防措施,character
sR1,佩戴口罩,Prevention_String,character
sR2,戴口罩是预防新型冠状病毒肺炎等呼吸道传染病的重要手段之一。,Prevention_String,character
R10102,儿童,儿童,character
R10103,老年人,老年人,character
sR3,有慢性肺病、心脏病,Prevention_String,character
R10104,孕妇,孕产妇,character
R1010401,产妇,孕产妇,character
R10105,学生,学生,character
R10106,伤残人士,伤残人士,character
R1020201,警察,警察,character
R102030101,企业工人,企业工人,character
R102030201,农民工,农民工,character
R102030301,环卫工人,环卫工人,character
R102030401,水、电、煤气等工作人员,水、电、煤气等工作人员,character
R1121,去过疫情高发区的儿童,儿童,character
R1122,有新型冠状病毒感染者接触史的儿童,儿童,character
R1131,有心脏病的老年人,老年人,character
R1132,有呼吸道疾病的老年人,老年人,character
R2,通用预防措施1_1,通用预防措施,character
sR4,什么样的口罩有用？,Prevention_String,character
sR5,"不要选择：纸质口罩、棉布口罩、海绵口罩、活性炭口罩。
可以选择：医用外科口罩、N95型口罩",Prevention_String,character
R2030204,办公室内,办公室内,character
R3010101,孕妇预防措施1,孕妇预防措施,character
sR6,减少出门,Prevention_String,character
sR7,尽量不到封闭、空气不流通的公共场所和人员密集的地方，不参与聚餐、聚会等活动，避免亲朋好友探视。,Prevention_String,character
R3010102,孕妇预防措施2,孕妇预防措施,character
sR8,适当延长到医院检查间隔时间,Prevention_String,character
sR9,早孕期、中孕期没有特殊问题的孕妇，在医生的建议和指导下，可以适当延长到医院检查间隔时间。,Prevention_String,character
R3010103,孕妇预防措施3,孕妇预防措施,character
sR10,外出或产检回家后,Prevention_String,character
sR11,外出或产检回家后，应妥善处理口罩，及时更换衣物，洗手洗脸。,Prevention_String,character
R3010104,孕妇预防措施4,孕妇预防措施,character
sR12,外出产检时,Prevention_String,character
sR13,通过网上预约挂号、预约检查；尽量减少在人群拥挤诊室的停留时间；可随身携带免洗洗手液或消毒湿巾，保持手卫生，避免用手揉眼睛、鼻子和嘴巴。,Prevention_String,character
R3010105,孕妇预防措施5,孕妇预防措施,character
sR14,外出,Prevention_String,character
sR15,尽量选择步行或自驾车外出或去医院。在路上和医院时，人与人之间尽可能保持距离，并全程佩戴口罩和手套。,Prevention_String,character
